"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1177","test_create_customer_scenarios[create_customer_missing_name]","tests","2026-07-12","failed","2026-07-12","","test_customer","",""
"故意用无效token，验证401后能自动刷新并重试成功","1229","test_create_customer_with_expired_token_auto_retry","tests","2026-07-12","failed","2026-07-12","","test_customer","",""
"","336","test_login_scenarios[login_missing_password]","tests","2026-07-12","passed","2026-07-12","","test_login","",""
"","430","test_login_scenarios[login_success]","tests","2026-07-12","failed","2026-07-12","","test_login","",""
"","1153","test_create_customer_scenarios[create_customer_success]","tests","2026-07-12","failed","2026-07-12","","test_customer","",""
